over_p [bar]	q [Nl/min]
3,838	38,32511639
3,831	38,29669611
3,826	38,3980913
3,822	38,36752884
3,813	37,70380726
3,805	38,13672772
3,801	38,44902433
3,798	38,41586131
3,79	37,42366725
3,783	37,50988673
3,779	37,45555524
3,776	37,29042205
3,768	37,56015807
3,765	37,87620449
3,761	37,46493392
3,753	37,54013765
3,747	37,23448658
3,744	37,16955484
3,735	37,35427352
3,728	37,14903646
3,724	37,10248777
3,72	37,3933765
3,711	37,39077
3,706	37,63833432
3,702	37,56028641
3,698	37,44523772
3,69	37,33481155
3,687	37,27343171
3,683	37,49076378
3,679	36,89216528
3,672	36,68713366
3,667	37,04842978
3,658	37,12975633
3,652	36,99548313
3,645	37,19278058
3,643	37,13397048
3,636	36,63099953
3,63	36,54610317
3,624	36,71206607
3,622	36,44961735
3,615	36,26504515
3,61	36,77373749
3,605	36,43182215
3,601	36,8715126
3,595	36,29345865
3,588	35,75145579
3,586	36,04331816
3,578	36,29347635
3,573	36,46239868
3,569	36,56989112
3,566	36,25514229
3,562	35,71593863
3,556	36,23722784
3,552	35,82991833
3,546	35,93938205
3,539	36,17670857
3,532	36,06527202
3,529	35,97851303
3,525	35,56509343
3,518	35,28352596
3,513	35,41321765
3,509	35,94280703
3,501	36,00147003
3,493	35,15576919
3,488	35,75397735
3,485	35,4378663
3,478	35,00098295
3,473	35,02370525
3,469	35,08302814
3,461	35,6437295
3,454	34,84818965
3,45	35,45461253
3,446	35,27895464
3,438	35,14991868
3,432	34,71659142
3,429	34,59208995
3,426	34,62521328
3,419	35,30537342
3,413	34,42618471
3,41	35,31336708
3,408	34,47202897
3,401	34,89400981
3,394	34,44536768
3,391	34,67183444
3,388	34,47581673
3,38	35,14849096
3,374	34,7924792
3,372	34,96232338
3,364	34,31171996
3,358	34,22752115
3,352	34,5305483
3,35	34,70587955
3,343	34,75009483
3,336	34,79164091
3,331	34,30231436
3,328	34,81946382
3,326	33,91677821
3,319	34,29630719
3,316	34,28054155
3,312	34,48560872
3,309	33,96614507
3,3	33,86308551
3,295	34,11788705
3,29	34,25695978
3,283	34,03635287
3,278	34,38423769
3,275	33,68220097
3,272	34,24254679
3,265	33,78383855
3,258	33,80930836
3,255	34,03722821
3,253	33,56665825
3,249	33,70311302
3,243	33,31020771
3,237	33,5127961
3,234	33,16228905
3,23	33,89420269
3,222	33,8035783
3,218	33,52076367
3,214	33,19802632
3,21	33,53779696
3,203	33,23792434
3,197	33,54371882
3,193	33,4679956
3,185	33,42228519
3,178	33,03598649
3,176	32,9134167
3,172	33,45791313
3,166	32,99802121
3,16	32,79284155
3,158	33,39469994
3,155	33,17829231
3,148	32,68063895
3,142	32,82235397
3,137	32,25042265
3,136	32,36784938
3,128	32,39746468
3,122	32,31857575
3,118	32,76140758
3,116	32,85368408
3,113	32,87612364
3,11	32,61109376
3,103	32,76958329
3,1	32,8762684
3,096	31,96167183
3,093	32,59755179
3,085	32,84558837
3,081	32,21125855
3,077	32,49931465
3,069	31,9053281
3,062	32,31599159
3,059	32,05042496
3,057	31,77227343
3,05	31,85248911
3,049	31,73075206
3,043	31,84925103
3,04	32,4887209
3,036	32,32067805
3,029	31,98485374
3,022	31,93550988
3,019	31,81283726
3,015	32,02425421
3,008	31,48149866
3,003	32,06551444
3,001	32,15444842
2,998	31,92260266
2,995	31,85948649
2,989	31,10580804
2,982	31,11663777
2,98	31,29502482
2,977	31,29852359
2,97	30,91642635
2,965	31,57526128
2,962	30,93265111
2,954	30,8948298
2,947	30,83405182
2,942	31,34317059
2,94	30,98049607
2,937	31,33231633
2,93	30,71253339
2,925	30,56493668
2,92	30,80829747
2,918	31,10761803
2,915	31,06432409
2,908	30,29098765
2,902	30,73322588
2,9	30,78357706
2,893	30,39693513
2,886	30,84969766
2,881	30,43019748
2,879	30,42919558
2,872	30,37058513
2,867	30,77716961
2,864	30,14651466
2,86	29,84684002
2,853	30,44254144
2,846	30,33028334
2,843	29,790109
2,84	29,90931614
2,838	30,43972017
2,831	29,85267782
2,826	29,73795213
2,823	29,75057649
2,82	29,60054488
2,814	29,99484796
2,809	30,09911393
2,806	30,17275775
2,803	29,58415992
2,8	29,3080671
2,793	29,3481577
2,789	30,13704266
2,786	29,45192281
2,796	20,59627412
2,797	13,36362079
2,802	8,908830279
2,802	6,686494183
2,805	4,530471297
2,808	2,919724963
2,81	2,205879465
2,813	1,445784112
2,815	-0,233148158
2,816	-0,265473646
2,815	0,030587778
2,814	-0,099013799
2,814	0,366332269
2,814	0,316962882
2,815	0,004670331
2,815	0,22404842
2,815	-0,471003718
